N,P,K,temprature,humidity,ph,rainfall,label
66,36,42,15.04,53,6.53,343.16,Barley
70,41,39,15.81,55,6.88,132.4,Barley
65,44,42,16.46,48,6.81,218.17,Barley
70,45,38,14.88,51,6.66,305.92,Barley
67,38,39,14.28,58,6.77,154.35,Barley
70,46,39,16.15,48,6.44,168.42,Barley
67,38,35,14.09,46,6.6,84.04,Barley
69,38,41,14.05,54,6.43,168.58,Barley
66,43,41,16.04,48,6.64,187.77,Barley
63,34,35,14.19,57,6.73,90.57,Barley
68,37,34,16.05,53,6.49,240.51,Barley
67,35,43,14.79,50,6.73,155.28,Barley
69,41,42,14.97,52,6.86,234.39,Barley
62,41,42,16.89,49,6.72,88.54,Barley
64,33,39,14.86,45,6.89,61.41,Barley
69,41,35,17.33,52,6.79,140.53,Barley
63,41,36,14.43,51,6.84,321.28,Barley
62,34,39,16.74,47,6.44,98.98,Barley
59,48,43,15.25,59,6.93,77.56,Barley
66,40,37,15.83,49,6.34,65.87,Barley
64,41,40,15.21,49,6.52,263.62,Barley
67,44,43,16.2,51,6.55,106.6,Barley
61,35,41,17.0,55,6.44,120.76,Barley
58,41,43,15.11,52,6.75,147.72,Barley
62,39,45,15.69,54,6.87,217.88,Barley
68,46,42,16.52,53,6.6,179.38,Barley
63,44,38,16.41,53,6.81,208.18,Barley
65,41,44,15.63,54,6.55,218.89,Barley
69,37,45,15.16,49,6.41,201.21,Barley
70,32,39,17.42,55,6.7,163.2,Barley
68,41,35,13.63,53,6.65,263.85,Barley
63,38,39,15.07,53,6.58,316.54,Barley
69,34,41,15.41,51,6.61,216.48,Barley
63,40,41,15.62,49,6.6,232.76,Barley
70,44,34,14.58,53,6.5,203.05,Barley
65,38,39,14.89,50,6.83,153.57,Barley
58,44,36,15.09,46,6.57,67.22,Barley
69,42,40,16.09,56,6.65,91.1,Barley
69,33,43,14.55,55,6.41,112.42,Barley
61,35,36,13.69,49,6.51,243.96,Barley
68,40,41,15.49,52,6.62,228.25,Barley
59,46,46,16.02,49,6.51,124.44,Barley
64,48,38,16.25,49,6.55,65.05,Barley
65,49,40,15.21,56,6.46,163.66,Barley
67,43,41,15.87,52,6.48,323.22,Barley
66,37,38,17.09,55,6.66,289.25,Barley
61,42,40,17.31,48,6.42,103.57,Barley
59,30,42,15.25,60,6.49,262.52,Barley
70,44,41,15.83,55,6.55,237.66,Barley
69,36,37,14.99,55,6.96,94.48,Barley
65,49,38,17.06,60,6.76,204.25,Barley
62,33,38,14.86,61,6.4,190.65,Barley
64,39,39,15.86,52,6.77,105.05,Barley
69,43,38,14.91,54,6.63,147.99,Barley
67,33,35,15.04,48,6.45,157.65,Barley
63,44,42,15.74,52,6.35,119.41,Barley
61,47,42,14.22,60,6.42,289.99,Barley
62,36,43,16.9,55,6.68,86.34,Barley
68,40,43,15.37,61,6.35,212.98,Barley
64,42,35,14.92,60,6.67,104.48,Barley
66,47,42,16.14,52,6.73,55.67,Barley
70,44,37,15.2,50,6.89,128.68,Barley
71,36,41,15.65,50,6.61,121.51,Barley
63,38,43,15.16,55,6.45,57.55,Barley
68,32,42,17.14,55,6.77,50.87,Barley
67,31,40,17.42,55,6.81,179.53,Barley
66,40,39,14.58,50,6.65,96.26,Barley
66,41,38,15.1,52,6.69,76.35,Barley
61,46,44,15.38,47,6.63,96.29,Barley
73,42,44,16.78,45,6.77,298.34,Barley
65,40,40,16.44,50,6.57,49.63,Barley
67,33,41,16.79,56,6.64,70.26,Barley
65,38,37,14.51,58,6.62,57.58,Barley
62,46,38,16.01,55,6.78,180.29,Barley
60,31,41,16.12,50,6.57,343.57,Barley
64,38,37,15.27,51,6.59,246.95,Barley
62,42,38,15.05,47,6.41,147.05,Barley
67,39,41,14.63,49,6.49,245.81,Barley
66,37,42,16.23,51,6.58,338.25,Barley
71,45,38,15.53,55,6.59,139.94,Barley
61,33,40,15.24,53,6.83,345.94,Barley
69,38,36,16.32,56,6.34,140.19,Barley
72,37,44,15.98,57,6.51,262.58,Barley
60,47,37,16.45,54,6.57,174.59,Barley
64,32,37,15.41,47,6.65,215.23,Barley
64,48,45,16.33,57,6.9,148.69,Barley
69,39,41,16.9,52,6.64,59.96,Barley
68,34,42,15.25,53,6.48,306.29,Barley
66,35,41,15.85,54,6.54,94.03,Barley
67,46,40,13.94,59,6.22,277.27,Barley
63,44,38,15.77,53,6.6,89.54,Barley
71,33,36,15.14,50,6.67,273.27,Barley
65,38,40,16.08,54,6.32,238.65,Barley
68,30,41,15.61,52,6.58,173.97,Barley
65,46,46,15.28,53,6.49,297.1,Barley
63,39,43,14.92,50,6.59,266.39,Barley
62,41,38,15.29,57,6.69,128.9,Barley
61,38,39,16.13,57,6.82,84.45,Barley
72,34,37,17.46,52,6.82,172.22,Barley
64,45,38,15.63,47,6.7,190.74,Barley
69,37,42,16.13,45,6.6,241.48,Barley
58,33,44,14.67,56,6.99,208.73,Barley
64,45,41,16.58,54,6.89,252.55,Barley
67,32,43,17.5,53,6.82,73.44,Barley
66,45,35,15.57,53,6.68,297.05,Barley
62,50,35,15.08,46,6.67,100.33,Barley
58,34,43,16.03,59,6.59,194.61,Barley
65,42,38,15.12,58,6.64,137.59,Barley
66,39,44,14.97,53,6.61,99.47,Barley
70,40,39,16.86,54,6.82,134.24,Barley
62,47,39,13.85,52,6.7,169.69,Barley
70,42,41,15.37,57,6.35,208.63,Barley
71,35,39,17.27,46,6.8,237.64,Barley
66,40,41,16.38,59,6.78,349.04,Barley
71,43,41,16.38,52,6.38,283.35,Barley
65,43,38,14.91,53,6.31,228.48,Barley
63,41,41,15.72,57,6.73,193.08,Barley
63,42,41,16.14,57,6.56,116.08,Barley
62,50,42,16.38,55,6.59,96.78,Barley
67,47,37,13.53,49,6.73,316.67,Barley
72,38,45,17.12,52,6.78,152.51,Barley
69,48,37,17.16,59,6.52,154.79,Barley
70,46,37,15.69,57,6.58,88.59,Barley
68,40,46,15.85,53,6.61,234.56,Barley
64,38,37,17.5,55,6.79,124.69,Barley
63,40,42,15.71,57,6.51,174.53,Barley
58,34,44,15.77,46,6.5,290.28,Barley
72,33,40,16.15,51,6.56,59.82,Barley
69,34,34,15.47,50,6.59,284.67,Barley
68,42,46,13.45,52,6.47,215.23,Barley
68,39,39,13.84,46,6.65,110.09,Barley
68,33,41,14.15,48,6.66,223.71,Barley
63,36,43,14.63,49,6.36,148.99,Barley
67,45,42,14.21,55,6.75,110.74,Barley
71,46,37,16.45,55,6.8,131.31,Barley
69,48,36,14.7,48,6.63,216.51,Barley
62,42,38,16.05,59,6.41,352.37,Barley
70,46,40,16.47,54,6.36,121.18,Barley
66,43,44,16.32,54,6.5,214.96,Barley
62,44,42,14.89,49,6.76,273.54,Barley
68,47,36,13.96,50,6.55,209.27,Barley
70,42,42,16.36,56,6.77,108.4,Barley
71,44,38,16.97,55,6.43,268.85,Barley
71,44,41,15.84,55,6.56,125.33,Barley
61,46,37,15.79,58,6.38,266.14,Barley
66,42,44,14.72,45,6.52,362.64,Barley
66,36,43,16.71,53,6.61,129.36,Barley
64,31,43,14.47,52,6.71,164.95,Barley
65,37,37,16.13,45,6.55,59.1,Barley
70,30,38,15.29,52,6.53,198.05,Barley
71,37,43,15.78,61,6.77,280.88,Barley
63,40,41,16.69,56,6.65,272.63,Barley
60,41,40,16.9,51,6.38,321.23,Barley
61,44,36,17.03,61,6.74,147.04,Barley
60,33,35,15.11,57,6.93,295.03,Barley
64,32,33,16.26,56,6.56,257.08,Barley
69,33,39,14.79,54,6.47,75.53,Barley
65,47,40,14.54,55,6.44,266.8,Barley
71,38,41,16.88,47,6.74,190.55,Barley
70,42,43,15.95,56,6.44,85.92,Barley
68,41,39,17.35,54,6.51,54.91,Barley
67,49,40,17.05,55,6.87,321.71,Barley
64,32,39,16.05,47,6.57,135.89,Barley
62,43,46,15.34,53,6.64,178.34,Barley
73,44,44,14.76,47,6.84,163.08,Barley
67,38,41,15.44,54,6.79,338.38,Barley
74,35,38,16.01,46,6.38,77.92,Barley
65,31,35,14.64,47,6.57,81.61,Barley
64,44,42,15.53,49,6.86,98.05,Barley
62,39,36,16.03,45,6.62,196.18,Barley
70,48,38,16.96,53,6.59,220.8,Barley
65,43,40,15.87,51,6.77,152.2,Barley
65,35,38,15.67,54,6.8,212.52,Barley
69,50,41,13.53,60,6.63,166.2,Barley
67,41,40,14.34,50,6.57,324.83,Barley
61,37,44,16.09,53,6.56,57.4,Barley
64,44,39,14.85,52,6.84,139.24,Barley
62,41,43,14.41,52,6.53,196.73,Barley
67,37,34,15.53,49,6.76,102.5,Barley
68,31,35,16.35,62,6.68,64.52,Barley
62,45,46,15.67,47,6.72,76.52,Barley
73,31,39,15.44,56,6.95,104.26,Barley
69,36,37,13.76,59,6.84,64.87,Barley
69,31,45,16.16,53,6.45,79.57,Barley
62,40,37,17.66,55,6.37,129.92,Barley
66,38,43,14.71,54,6.45,185.13,Barley
67,40,39,16.04,52,6.75,172.42,Barley
62,38,35,14.45,52,6.52,243.49,Barley
59,33,36,15.19,53,6.53,207.17,Barley
64,31,35,16.56,54,6.46,211.36,Barley
68,50,43,16.19,56,6.34,115.19,Barley
62,38,39,16.37,50,6.34,318.61,Barley
64,47,45,15.82,51,6.65,260.34,Barley
64,44,45,14.98,58,6.49,118.78,Barley
68,38,37,14.88,51,6.42,279.34,Barley
61,36,36,16.55,48,6.87,224.77,Barley
66,34,38,15.39,54,6.77,75.84,Barley
66,44,38,17.08,60,6.59,109.24,Barley
73,41,38,15.38,54,6.64,164.22,Barley
68,37,39,14.63,51,6.56,49.62,Barley
67,35,42,14.8,49,6.46,180.83,Barley
63,48,39,16.69,52,6.49,243.61,Barley
72,35,44,17.11,54,6.69,282.96,Barley
69,34,41,14.44,51,6.68,201.95,Barley
62,40,41,16.46,46,6.55,297.62,Barley
63,37,40,15.67,54,6.64,305.57,Barley
64,44,43,16.79,48,6.46,131.39,Barley
70,38,36,16.09,52,6.71,131.32,Barley
60,43,36,16.3,48,6.51,351.1,Barley
63,36,36,15.26,55,6.73,99.63,Barley
61,48,43,15.76,45,6.54,159.72,Barley
65,39,33,15.47,56,6.44,161.03,Barley
65,50,37,15.49,48,6.54,132.04,Barley
66,37,39,16.78,47,6.46,112.38,Barley
69,35,38,15.59,54,6.6,128.95,Barley
65,34,39,14.2,52,6.29,171.88,Barley
70,50,39,15.18,50,6.89,197.32,Barley
61,39,36,16.25,51,6.72,126.84,Barley
58,40,43,15.4,51,6.55,239.0,Barley
69,36,41,14.98,47,6.74,308.88,Barley
70,39,34,13.77,50,6.7,165.67,Barley
73,46,44,17.11,48,6.65,209.09,Barley
64,47,39,14.42,51,6.32,226.6,Barley
72,35,42,16.2,57,6.79,95.52,Barley
59,49,40,17.2,49,6.7,170.7,Barley
64,40,39,16.59,51,6.43,289.34,Barley
59,30,40,14.63,53,6.75,225.53,Barley
65,47,42,15.62,49,6.34,94.66,Barley
72,38,35,16.17,51,6.51,207.17,Barley
67,49,41,14.8,55,6.7,132.31,Barley
67,42,39,15.28,55,6.94,84.54,Barley
67,46,42,13.98,49,6.87,208.91,Barley
70,44,39,15.87,49,6.54,96.12,Barley
63,39,40,15.83,59,6.35,216.29,Barley
64,34,44,14.72,54,6.79,193.21,Barley
68,40,47,13.72,54,6.55,245.93,Barley
63,43,35,17.11,50,6.92,84.73,Barley
72,40,43,16.32,51,6.77,220.66,Barley
62,42,41,14.9,54,6.39,183.22,Barley
73,48,43,15.42,51,6.59,157.93,Barley
70,38,43,16.0,52,6.66,151.03,Barley
63,37,39,16.41,52,6.96,107.58,Barley
71,35,39,16.04,52,6.43,103.97,Barley
66,39,43,14.9,58,6.85,99.5,Barley
67,43,43,16.99,51,6.83,208.58,Barley
66,31,38,13.85,58,6.76,71.91,Barley
63,43,39,16.85,47,6.41,169.6,Barley
65,35,42,15.28,52,6.77,197.05,Barley
70,36,42,13.73,55,6.56,121.84,Barley
64,31,38,15.02,48,6.36,87.3,Barley
61,34,38,16.02,48,6.63,211.6,Barley
64,34,37,16.34,53,6.64,126.6,Barley
66,47,36,14.64,50,6.81,83.38,Barley
62,48,43,13.51,49,6.72,131.3,Barley
65,42,36,17.41,52,6.43,171.81,Barley
70,46,41,17.5,54,6.64,146.05,Barley
70,40,39,16.31,52,6.66,218.67,Barley
59,41,41,15.71,55,6.51,155.49,Barley
62,41,45,15.57,51,6.43,196.25,Barley
69,37,37,15.36,51,6.65,172.71,Barley
66,31,38,15.7,46,6.62,115.55,Barley
62,36,34,16.09,56,6.47,274.28,Barley
62,50,36,14.64,49,6.41,111.25,Barley
63,31,35,16.38,57,6.84,66.52,Barley
70,33,36,16.13,49,6.44,155.5,Barley
68,31,42,16.38,49,6.38,148.64,Barley
63,32,41,15.88,45,6.78,115.39,Barley
62,39,43,14.47,51,6.41,117.64,Barley
67,36,41,15.84,52,6.44,241.89,Barley
60,34,43,14.89,52,6.61,77.57,Barley
64,39,39,14.91,48,6.7,63.39,Barley
73,36,44,15.85,55,6.57,155.21,Barley
64,45,35,15.23,55,6.67,182.03,Barley
61,46,36,14.65,48,6.3,121.54,Barley
67,49,38,14.41,55,6.76,118.93,Barley
63,40,41,16.71,52,6.63,57.22,Barley
71,40,44,15.2,58,6.42,60.29,Barley
66,40,47,15.75,55,6.37,129.75,Barley
59,48,42,14.71,50,6.33,112.69,Barley
59,38,40,15.31,56,6.44,67.38,Barley
65,41,35,15.8,55,6.86,81.28,Barley
64,46,35,17.51,57,6.52,71.47,Barley
69,36,37,16.11,50,6.75,49.31,Barley
67,48,45,16.8,56,6.8,88.86,Barley
69,40,44,14.26,55,6.87,363.09,Barley
66,45,42,15.39,55,6.83,228.66,Barley
66,46,40,15.76,47,6.42,84.4,Barley
59,32,39,16.22,47,6.54,130.2,Barley
61,44,41,15.31,52,6.76,242.48,Barley
64,41,42,16.02,45,6.77,159.83,Barley
69,41,37,16.75,50,6.87,166.93,Barley
71,35,42,16.1,48,6.6,102.24,Barley
65,34,45,15.93,61,6.48,283.51,Barley
68,44,36,14.49,50,6.34,188.45,Barley
63,35,40,14.83,56,6.57,298.43,Barley
67,46,37,15.32,56,6.34,135.53,Barley
71,37,41,16.58,47,6.68,196.32,Barley
65,38,40,16.94,56,6.8,87.69,Barley
60,43,40,15.93,48,6.91,141.69,Barley
64,33,36,15.01,56,6.85,185.61,Barley
73,40,44,15.77,50,6.54,199.28,Barley
66,37,35,15.69,49,6.63,144.95,Barley
66,34,44,14.54,52,6.65,72.0,Barley
62,37,44,14.98,48,6.58,306.32,Barley
57,49,36,15.27,58,6.42,263.64,Barley
63,42,39,16.38,47,6.41,57.66,Barley
64,43,43,16.09,46,6.98,125.06,Barley
68,33,41,15.76,60,6.64,146.92,Barley
66,31,36,15.97,54,6.74,187.53,Barley
65,41,41,15.13,50,6.52,160.34,Barley
70,45,38,14.74,54,6.6,355.96,Barley
69,33,45,14.4,55,6.4,291.95,Barley
63,46,40,15.36,56,6.6,102.75,Barley
61,37,45,16.2,54,6.56,178.32,Barley
63,42,42,16.76,61,6.45,187.71,Barley
69,43,37,15.64,52,6.44,118.77,Barley
64,40,39,14.66,54,6.49,189.06,Barley
60,37,46,15.36,54,6.6,102.7,Barley
64,39,40,15.72,51,6.84,132.6,Barley
67,33,35,17.38,60,6.67,88.96,Barley
74,33,38,15.6,53,6.25,180.24,Barley
62,47,47,14.08,53,6.74,208.83,Barley
61,37,37,15.28,46,6.57,81.51,Barley
69,31,39,15.47,59,6.48,109.56,Barley
71,33,39,16.75,53,6.94,305.41,Barley
63,39,41,16.04,47,6.95,51.92,Barley
61,49,37,15.57,52,6.3,67.69,Barley
66,45,46,15.11,48,6.7,306.85,Barley
64,38,39,16.12,53,6.75,174.89,Barley
63,37,39,16.3,52,6.77,58.43,Barley
62,40,41,15.67,51,6.88,218.63,Barley
65,40,44,15.57,55,6.43,257.34,Barley
65,34,45,16.87,52,6.8,139.74,Barley
72,32,39,13.98,55,6.71,199.22,Barley
64,40,39,15.47,49,6.85,190.1,Barley
62,49,45,15.28,54,6.8,72.57,Barley
64,42,39,17.35,53,6.85,192.69,Barley
64,39,36,16.47,56,6.58,197.17,Barley
67,34,43,16.15,54,6.77,169.76,Barley
71,47,39,16.45,48,6.34,92.88,Barley
66,43,42,14.92,56,6.64,106.39,Barley
72,41,36,15.33,53,6.53,136.87,Barley
63,44,40,15.06,57,6.51,209.9,Barley
64,36,38,16.46,50,6.39,72.79,Barley
62,43,40,16.08,50,6.55,66.5,Barley
65,45,41,14.38,55,6.72,279.77,Barley
66,41,41,15.1,47,6.65,67.5,Barley
70,38,44,15.39,49,6.64,50.13,Barley
63,40,37,13.79,60,6.63,62.94,Barley
65,42,41,14.26,53,6.99,101.56,Barley
61,35,41,14.4,54,6.56,147.8,Barley
62,33,41,15.87,54,6.59,160.95,Barley
65,36,45,16.05,50,6.34,251.96,Barley
66,41,44,14.53,58,6.45,108.15,Barley
63,51,36,15.53,45,6.85,164.21,Barley
62,43,34,15.67,52,6.8,287.22,Barley
59,32,44,15.66,55,6.89,94.97,Barley
64,38,39,15.22,51,6.76,173.45,Barley
60,35,38,16.1,60,6.76,64.72,Barley
61,39,45,14.17,47,6.61,196.86,Barley
69,33,35,15.88,58,6.57,229.76,Barley
63,47,44,13.58,46,6.46,53.77,Barley
70,41,39,16.07,56,6.74,349.4,Barley
61,40,37,14.82,54,6.7,309.38,Barley
74,41,43,13.58,53,6.45,90.27,Barley
72,38,36,16.23,46,6.37,112.16,Barley
59,36,37,15.78,47,6.61,118.23,Barley
61,40,38,15.8,46,6.57,55.7,Barley
61,42,40,17.78,51,6.8,104.19,Barley
70,34,35,14.68,53,6.67,51.16,Barley
60,40,41,15.49,55,6.83,161.65,Barley
68,34,40,15.76,47,6.92,65.07,Barley
67,42,43,15.3,54,6.66,305.98,Barley
65,41,44,15.87,57,6.62,194.63,Barley
62,41,41,13.78,60,6.52,66.81,Barley
67,41,41,17.68,50,6.63,281.86,Barley
63,51,33,16.01,53,6.61,224.73,Barley
63,38,37,17.07,49,6.29,223.58,Barley
69,37,44,15.55,47,6.46,345.4,Barley
62,41,39,15.71,45,6.71,257.1,Barley
68,47,38,15.46,57,6.45,199.55,Barley
62,37,36,14.6,50,6.53,148.83,Barley
69,41,41,15.2,50,6.75,184.63,Barley
64,50,38,14.53,56,6.48,292.97,Barley
65,44,44,15.77,54,6.68,96.88,Barley
71,32,40,16.81,57,6.99,144.34,Barley
68,37,43,16.28,51,6.56,65.95,Barley
65,38,46,15.7,49,6.45,209.03,Barley
68,35,41,15.48,52,6.56,69.61,Barley
67,47,37,17.17,51,6.56,146.69,Barley
61,39,46,15.45,50,6.39,126.81,Barley
62,38,45,15.85,46,6.63,89.22,Barley
63,39,41,16.8,53,6.23,124.87,Barley
70,44,40,15.92,49,6.59,249.5,Barley
68,47,38,14.95,55,6.6,172.74,Barley
66,50,35,15.87,60,6.35,123.9,Barley
69,35,39,14.98,55,6.62,185.44,Barley
69,37,41,16.58,47,6.72,212.54,Barley
59,42,38,15.92,50,6.6,113.18,Barley
58,37,42,14.96,54,6.65,167.53,Barley
64,43,38,16.91,52,6.7,136.83,Barley
73,45,37,14.74,51,6.46,171.14,Barley
63,38,41,15.07,51,6.69,327.22,Barley
68,49,41,15.89,52,6.39,250.39,Barley
70,42,40,14.11,54,6.69,133.79,Barley
70,35,42,16.02,47,6.52,123.38,Barley
61,41,40,16.92,52,6.87,235.92,Barley
66,36,38,15.58,48,6.73,79.48,Barley
67,31,38,15.14,57,6.6,226.47,Barley
74,38,40,17.25,55,6.63,333.94,Barley
70,43,41,16.44,49,6.81,262.59,Barley
68,38,41,15.5,54,6.39,223.77,Barley
70,42,39,14.28,46,6.42,123.46,Barley
61,35,40,14.88,54,6.7,87.57,Barley
68,43,37,13.9,49,6.85,53.08,Barley
67,37,41,15.54,50,6.88,49.32,Barley
61,34,37,14.39,55,6.46,134.45,Barley
66,37,41,14.25,56,6.45,301.13,Barley
64,37,40,14.9,57,6.5,340.5,Barley
60,40,45,16.96,47,6.28,276.42,Barley
64,42,46,14.53,55,6.61,160.17,Barley
74,42,37,14.85,54,6.58,322.32,Barley
59,39,44,16.05,55,6.64,246.33,Barley
64,35,43,16.12,60,6.81,131.38,Barley
60,52,41,17.67,48,6.93,252.71,Barley
67,44,35,14.09,49,6.72,182.64,Barley
67,44,44,16.33,53,6.63,50.25,Barley
69,42,41,16.27,48,6.65,101.53,Barley
66,50,39,15.32,53,6.22,266.96,Barley
68,31,42,16.58,52,6.75,198.28,Barley
72,35,38,15.4,49,6.29,124.08,Barley
66,33,42,14.89,52,6.42,112.07,Barley
70,40,37,15.41,49,6.75,214.16,Barley
63,36,36,16.03,54,6.45,221.87,Barley
67,46,40,14.73,52,6.26,243.98,Barley
65,42,38,15.02,54,6.39,254.23,Barley
71,44,40,16.52,55,6.63,267.52,Barley
68,40,42,13.53,48,6.64,170.42,Barley
67,39,40,16.46,54,6.8,142.82,Barley
60,45,36,14.68,56,6.41,192.85,Barley
58,33,36,16.24,56,6.64,84.25,Barley
66,48,38,16.05,49,6.33,198.41,Barley
63,34,38,14.93,56,6.53,249.03,Barley
63,33,38,15.29,53,6.78,272.61,Barley
66,42,39,14.25,46,6.53,320.47,Barley
64,39,43,15.55,56,6.54,255.13,Barley
68,39,39,16.95,61,6.52,265.28,Barley
64,45,39,13.67,52,6.95,126.57,Barley
63,35,38,16.64,52,6.46,100.18,Barley
70,45,33,13.91,57,6.62,199.4,Barley
65,51,39,16.58,53,6.35,170.75,Barley
70,45,42,13.81,48,6.31,198.78,Barley
68,37,43,15.78,54,6.45,259.44,Barley
66,38,39,17.01,61,6.45,331.31,Barley
66,49,38,15.07,49,6.71,175.06,Barley
72,47,38,14.61,49,6.43,126.65,Barley
68,43,42,16.73,55,6.2,116.95,Barley
64,38,37,16.94,50,6.43,134.72,Barley
67,35,40,14.26,52,6.47,216.74,Barley
73,39,38,14.47,54,6.66,207.57,Barley
60,38,37,15.16,51,6.91,175.04,Barley
71,44,38,16.27,50,6.84,122.13,Barley
67,41,34,15.68,52,6.55,290.13,Barley
63,37,46,14.28,57,6.55,150.8,Barley
70,41,45,15.81,51,6.56,130.12,Barley
63,37,36,15.47,51,6.58,229.43,Barley
60,38,36,16.77,56,6.33,296.2,Barley
69,41,44,14.56,48,6.49,241.45,Barley
62,47,44,15.6,51,6.35,112.8,Barley
64,40,43,15.19,51,6.65,145.49,Barley
74,48,41,17.57,52,6.48,199.17,Barley
68,41,38,14.93,50,6.44,152.21,Barley
62,45,39,14.98,51,6.92,80.59,Barley
63,40,44,15.05,58,6.52,240.5,Barley
66,36,39,16.09,47,6.89,361.9,Barley
68,44,41,13.86,51,6.62,257.18,Barley
65,51,38,14.05,55,6.28,147.55,Barley
70,36,37,13.79,55,6.66,252.62,Barley
61,40,40,15.99,48,6.32,274.68,Barley
67,42,34,13.6,52,6.5,154.66,Barley
62,42,42,14.63,46,6.32,80.17,Barley
67,35,43,14.51,46,6.98,349.83,Barley
65,38,43,13.96,48,6.73,79.88,Barley
66,38,42,16.91,49,6.69,128.61,Barley
62,33,43,15.46,57,6.31,184.65,Barley
64,48,36,16.39,50,6.92,74.27,Barley
61,40,39,15.87,49,6.3,200.94,Barley
62,30,38,16.67,53,6.47,89.46,Barley
66,40,39,16.43,47,6.63,283.98,Barley
58,48,36,16.97,56,6.74,284.15,Barley
61,33,39,16.7,48,6.37,225.43,Barley
66,44,41,15.43,46,6.99,330.27,Barley
63,49,36,15.75,54,6.53,249.2,Barley
62,38,39,16.33,50,6.55,240.24,Barley
61,44,35,16.79,51,6.82,220.54,Barley
66,41,37,15.82,54,6.64,261.96,Barley
59,39,44,14.06,56,6.5,60.96,Barley
74,39,41,13.74,53,6.47,116.8,Barley
64,43,34,15.28,49,6.79,145.51,Barley
73,44,38,15.63,51,6.54,212.53,Barley
72,43,42,13.58,53,6.5,214.95,Barley
68,40,40,14.25,53,6.34,163.49,Barley
65,34,36,15.28,51,6.59,270.63,Barley
63,40,36,16.28,51,6.83,139.26,Barley
67,33,35,16.36,49,6.49,225.66,Barley
68,49,41,16.5,53,6.69,338.72,Barley
66,38,40,17.01,46,6.57,281.81,Barley
65,41,40,14.42,53,6.76,101.01,Barley
68,41,44,16.76,57,6.55,134.8,Barley
68,33,42,15.99,53,6.59,106.76,Barley
68,39,43,14.13,60,6.47,190.58,Barley
69,47,46,15.63,51,6.56,169.89,Barley
63,31,33,16.95,52,6.7,161.31,Barley
64,42,40,15.55,56,6.72,125.18,Barley
65,45,41,14.34,51,6.92,62.34,Barley
66,44,45,16.87,52,6.81,51.92,Barley
68,35,41,16.09,58,6.28,251.47,Barley
68,35,38,16.23,47,6.81,137.15,Barley
66,46,39,15.45,47,6.93,153.28,Barley
70,41,38,16.26,61,6.96,122.15,Barley
59,36,38,15.15,46,6.29,101.64,Barley
64,48,41,14.74,49,6.81,360.3,Barley
70,45,37,16.33,57,6.94,280.88,Barley
60,31,44,17.07,53,6.82,266.42,Barley
64,42,36,15.12,51,6.73,72.05,Barley
66,31,44,16.86,56,6.81,230.09,Barley
63,37,36,15.35,55,6.75,55.67,Barley
63,37,37,17.34,52,6.64,99.02,Barley
68,45,42,15.69,50,6.32,157.55,Barley
61,48,35,16.87,55,6.7,219.09,Barley
73,34,42,16.35,53,6.45,321.72,Barley
72,37,41,17.08,50,6.58,87.04,Barley
63,43,46,14.73,61,6.63,256.76,Barley
