N,P,K,temperature,humidity,ph,rainfall,region,season,water_source,water_availability,label
55,24,25,29.01,57.97,7.2,447.97,Maharashtra,Kharif,rainfed,low,bajra
49,27,26,29.64,56.79,7.69,444.51,Maharashtra,Kharif,rainfed,low,bajra
49,19,20,28.95,46.4,7.11,516.67,Maharashtra,Kharif,rainfed,low,bajra
49,27,26,27.58,47.92,7.37,504.8,Maharashtra,Kharif,rainfed,low,bajra
49,21,22,33.13,53.54,7.76,524.89,Maharashtra,Kharif,rainfed,low,bajra
58,17,31,27.04,47.5,7.37,511.09,Maharashtra,Kharif,rainfed,low,bajra
40,23,27,29.49,54.6,7.04,527.67,Maharashtra,Kharif,rainfed,low,bajra
62,28,26,32.24,53.5,7.05,435.61,Maharashtra,Kharif,rainfed,low,bajra
61,28,23,25.98,47.38,7.52,469.06,Maharashtra,Kharif,rainfed,low,bajra
32,30,26,31.5,47.61,6.52,579.21,Maharashtra,Kharif,rainfed,low,bajra
42,19,28,28.08,50.92,6.99,438.05,Maharashtra,Kharif,rainfed,low,bajra
57,26,20,28.95,49.2,7.53,453.32,Maharashtra,Kharif,rainfed,low,bajra
52,26,21,29.43,51.9,6.99,428.72,Maharashtra,Kharif,rainfed,low,bajra
52,23,22,29.94,52.01,7.21,490.31,Maharashtra,Kharif,rainfed,low,bajra
43,24,28,28.28,53.09,7.35,460.43,Maharashtra,Kharif,rainfed,low,bajra
60,22,25,29.75,56.43,7.09,424.29,Maharashtra,Kharif,rainfed,low,bajra
47,26,29,26.17,55.1,7.2,505.67,Maharashtra,Kharif,rainfed,low,bajra
51,28,23,28.7,55.24,6.62,532.8,Maharashtra,Kharif,rainfed,low,bajra
53,27,33,31.23,45.68,7.1,459.45,Maharashtra,Kharif,rainfed,low,bajra
51,24,33,30.39,47.7,6.61,498.23,Maharashtra,Kharif,rainfed,low,bajra
56,24,20,30.39,58.32,7.08,566.16,Maharashtra,Kharif,rainfed,low,bajra
48,27,18,28.65,54.17,7.32,443.54,Maharashtra,Kharif,rainfed,low,bajra
55,26,21,30.84,57.74,7.74,564.99,Maharashtra,Kharif,rainfed,low,bajra
45,26,20,28.02,52.64,7.36,379.99,Maharashtra,Kharif,rainfed,low,bajra
57,31,24,29.78,53.4,7.52,506.35,Maharashtra,Kharif,rainfed,low,bajra
52,23,28,29.47,58.13,7.07,381.4,Maharashtra,Kharif,rainfed,low,bajra
53,29,28,26.31,61.36,6.7,412.09,Maharashtra,Kharif,rainfed,low,bajra
55,27,25,30.18,52.14,7.55,602.47,Maharashtra,Kharif,rainfed,low,bajra
42,27,26,29.43,51.97,7.38,495.0,Maharashtra,Kharif,rainfed,low,bajra
45,31,26,28.31,43.95,7.5,515.61,Maharashtra,Kharif,rainfed,low,bajra
44,28,23,29.8,52.35,7.46,558.47,Maharashtra,Kharif,rainfed,low,bajra
50,29,22,28.39,52.88,7.45,464.56,Maharashtra,Kharif,rainfed,low,bajra
58,24,26,29.26,45.29,7.97,420.01,Maharashtra,Kharif,rainfed,low,bajra
46,27,19,28.75,45.32,7.12,517.18,Maharashtra,Kharif,rainfed,low,bajra
47,18,26,30.65,50.17,7.75,425.38,Maharashtra,Kharif,rainfed,low,bajra
41,29,19,29.34,59.27,7.54,499.57,Maharashtra,Kharif,rainfed,low,bajra
50,24,20,31.61,55.26,6.94,486.19,Maharashtra,Kharif,rainfed,low,bajra
64,24,30,29.68,55.99,6.74,495.32,Maharashtra,Kharif,rainfed,low,bajra
46,26,26,28.72,47.9,7.51,456.19,Maharashtra,Kharif,rainfed,low,bajra
61,23,25,29.63,57.11,6.85,543.15,Maharashtra,Kharif,rainfed,low,bajra
51,23,23,29.21,53.76,7.24,467.74,Maharashtra,Kharif,rainfed,low,bajra
55,31,24,28.5,49.64,7.29,444.33,Maharashtra,Kharif,rainfed,low,bajra
60,25,27,28.62,51.37,6.8,447.1,Maharashtra,Kharif,rainfed,low,bajra
49,20,22,28.3,54.89,7.64,517.97,Maharashtra,Kharif,rainfed,low,bajra
48,20,24,29.79,49.09,7.2,470.83,Maharashtra,Kharif,rainfed,low,bajra
42,25,26,29.65,51.79,7.4,537.95,Maharashtra,Kharif,rainfed,low,bajra
46,21,20,28.97,56.42,7.01,561.19,Maharashtra,Kharif,rainfed,low,bajra
49,25,27,27.95,44.31,7.32,505.71,Maharashtra,Kharif,rainfed,low,bajra
46,25,25,30.43,45.78,7.21,482.25,Maharashtra,Kharif,rainfed,low,bajra
48,26,30,30.24,53.58,7.52,465.78,Maharashtra,Kharif,rainfed,low,bajra
53,22,23,28.67,51.28,7.04,524.75,Maharashtra,Kharif,rainfed,low,bajra
46,25,21,29.95,54.62,6.66,431.14,Maharashtra,Kharif,rainfed,low,bajra
61,27,25,29.63,54.0,7.57,527.24,Maharashtra,Kharif,rainfed,low,bajra
43,26,29,29.74,51.22,6.92,495.73,Maharashtra,Kharif,rainfed,low,bajra
42,24,29,29.62,52.25,7.55,454.88,Maharashtra,Kharif,rainfed,low,bajra
52,27,20,28.99,50.34,7.05,498.73,Maharashtra,Kharif,rainfed,low,bajra
63,23,27,29.37,54.39,7.76,456.82,Maharashtra,Kharif,rainfed,low,bajra
52,24,27,29.44,44.87,7.1,405.98,Maharashtra,Kharif,rainfed,low,bajra
51,22,27,29.57,47.3,7.04,511.2,Maharashtra,Kharif,rainfed,low,bajra
56,26,26,27.75,54.59,6.84,436.58,Maharashtra,Kharif,rainfed,low,bajra
43,26,21,29.51,54.04,7.86,489.33,Maharashtra,Kharif,rainfed,low,bajra
50,26,23,28.86,51.02,7.12,456.87,Maharashtra,Kharif,rainfed,low,bajra
56,23,24,30.0,46.56,7.28,506.18,Maharashtra,Kharif,rainfed,low,bajra
45,30,24,30.66,49.95,7.29,428.26,Maharashtra,Kharif,rainfed,low,bajra
58,26,23,30.04,61.43,7.56,471.55,Maharashtra,Kharif,rainfed,low,bajra
47,24,28,28.29,48.71,7.15,549.54,Maharashtra,Kharif,rainfed,low,bajra
56,20,20,30.63,50.87,7.21,436.51,Maharashtra,Kharif,rainfed,low,bajra
61,29,26,28.54,51.3,7.69,341.91,Maharashtra,Kharif,rainfed,low,bajra
51,20,22,27.05,54.1,6.7,504.29,Maharashtra,Kharif,rainfed,low,bajra
51,28,29,29.81,54.1,6.83,534.68,Maharashtra,Kharif,rainfed,low,bajra
50,26,22,29.66,45.19,7.49,410.67,Maharashtra,Kharif,rainfed,low,bajra
53,26,24,28.3,49.95,7.6,450.29,Maharashtra,Kharif,rainfed,low,bajra
50,25,29,32.25,50.5,6.78,497.68,Maharashtra,Kharif,rainfed,low,bajra
40,27,31,27.74,56.67,7.72,388.85,Maharashtra,Kharif,rainfed,low,bajra
54,27,27,32.23,52.88,6.83,512.26,Maharashtra,Kharif,rainfed,low,bajra
61,25,23,31.1,45.54,7.35,472.44,Maharashtra,Kharif,rainfed,low,bajra
52,26,27,29.36,48.25,8.0,529.11,Maharashtra,Kharif,rainfed,low,bajra
51,30,28,30.9,51.6,7.71,422.74,Maharashtra,Kharif,rainfed,low,bajra
42,21,28,29.08,51.26,7.18,517.34,Maharashtra,Kharif,rainfed,low,bajra
62,24,26,25.71,55.93,7.74,413.63,Maharashtra,Kharif,rainfed,low,bajra
57,24,33,29.73,53.5,7.24,409.1,Maharashtra,Kharif,rainfed,low,bajra
48,18,28,32.79,54.5,7.48,464.35,Maharashtra,Kharif,rainfed,low,bajra
58,26,26,30.83,55.29,7.37,464.0,Maharashtra,Kharif,rainfed,low,bajra
59,24,25,28.01,53.03,7.25,512.09,Maharashtra,Kharif,rainfed,low,bajra
59,22,26,29.83,51.54,7.18,454.35,Maharashtra,Kharif,rainfed,low,bajra
44,26,28,28.9,58.61,6.72,390.18,Maharashtra,Kharif,rainfed,low,bajra
58,25,22,29.43,49.48,7.52,454.05,Maharashtra,Kharif,rainfed,low,bajra
41,29,22,29.55,54.55,7.25,330.44,Maharashtra,Kharif,rainfed,low,bajra
48,28,22,28.9,51.24,7.03,362.17,Maharashtra,Kharif,rainfed,low,bajra
54,20,30,30.85,52.16,7.44,518.23,Maharashtra,Kharif,rainfed,low,bajra
44,17,24,27.86,54.25,7.11,461.73,Maharashtra,Kharif,rainfed,low,bajra
54,30,26,31.06,50.65,7.12,553.62,Maharashtra,Kharif,rainfed,low,bajra
52,26,33,29.92,55.13,7.74,506.53,Maharashtra,Kharif,rainfed,low,bajra
55,26,25,32.03,55.58,7.08,453.34,Maharashtra,Kharif,rainfed,low,bajra
43,26,20,29.36,57.07,7.48,403.02,Maharashtra,Kharif,rainfed,low,bajra
46,24,22,28.44,55.18,7.15,372.71,Maharashtra,Kharif,rainfed,low,bajra
49,25,25,30.22,52.49,7.22,397.94,Maharashtra,Kharif,rainfed,low,bajra
46,28,29,30.33,45.76,7.56,551.04,Maharashtra,Kharif,rainfed,low,bajra
38,29,25,30.53,50.81,6.49,342.06,Maharashtra,Kharif,rainfed,low,bajra
50,22,28,30.52,55.34,7.96,455.75,Maharashtra,Kharif,rainfed,low,bajra
40,25,25,25.78,50.32,7.45,412.96,Maharashtra,Kharif,rainfed,low,bajra
51,29,26,31.49,44.69,7.44,451.79,Maharashtra,Kharif,rainfed,low,bajra
50,26,27,30.08,50.96,7.04,594.41,Maharashtra,Kharif,rainfed,low,bajra
41,27,27,29.97,54.53,7.65,478.12,Maharashtra,Kharif,rainfed,low,bajra
37,27,30,28.05,61.24,7.25,360.74,Maharashtra,Kharif,rainfed,low,bajra
48,31,21,31.35,56.76,7.16,473.08,Maharashtra,Kharif,rainfed,low,bajra
41,26,25,28.73,57.0,6.88,448.44,Maharashtra,Kharif,rainfed,low,bajra
47,24,21,28.79,52.99,7.42,545.24,Maharashtra,Kharif,rainfed,low,bajra
47,29,26,26.53,48.25,6.97,500.79,Maharashtra,Kharif,rainfed,low,bajra
49,27,24,31.1,56.64,6.57,393.61,Maharashtra,Kharif,rainfed,low,bajra
52,23,28,28.0,49.89,7.19,492.24,Maharashtra,Kharif,rainfed,low,bajra
47,26,31,29.58,44.49,6.87,490.3,Maharashtra,Kharif,rainfed,low,bajra
35,28,32,32.19,51.69,6.79,523.86,Maharashtra,Kharif,rainfed,low,bajra
51,26,30,30.07,52.81,6.96,521.81,Maharashtra,Kharif,rainfed,low,bajra
47,20,34,27.39,53.74,7.37,505.1,Maharashtra,Kharif,rainfed,low,bajra
41,20,24,29.51,52.55,7.02,440.16,Maharashtra,Kharif,rainfed,low,bajra
51,30,29,29.16,45.96,7.16,505.71,Maharashtra,Kharif,rainfed,low,bajra
52,24,19,27.92,49.43,7.9,516.27,Maharashtra,Kharif,rainfed,low,bajra
58,22,28,27.62,53.03,7.15,477.7,Maharashtra,Kharif,rainfed,low,bajra
46,27,25,28.68,49.23,7.51,462.07,Maharashtra,Kharif,rainfed,low,bajra
55,27,25,28.65,58.05,7.23,383.66,Maharashtra,Kharif,rainfed,low,bajra
55,25,26,30.62,49.3,7.77,466.73,Maharashtra,Kharif,rainfed,low,bajra
40,28,25,31.72,47.51,7.3,475.39,Maharashtra,Kharif,rainfed,low,bajra
52,28,23,28.67,53.99,6.91,386.45,Maharashtra,Kharif,rainfed,low,bajra
48,22,20,30.89,47.76,7.41,520.35,Maharashtra,Kharif,rainfed,low,bajra
48,27,25,27.86,40.85,8.29,479.26,Maharashtra,Kharif,rainfed,low,bajra
45,19,23,27.19,53.91,6.94,532.44,Maharashtra,Kharif,rainfed,low,bajra
50,19,24,30.47,48.23,7.32,500.18,Maharashtra,Kharif,rainfed,low,bajra
45,25,27,27.38,50.63,7.34,512.54,Maharashtra,Kharif,rainfed,low,bajra
49,22,31,27.67,53.21,7.45,474.2,Maharashtra,Kharif,rainfed,low,bajra
44,25,24,30.63,50.5,7.57,509.68,Maharashtra,Kharif,rainfed,low,bajra
49,25,24,30.17,51.79,7.51,416.14,Maharashtra,Kharif,rainfed,low,bajra
41,15,24,28.77,50.93,6.86,525.89,Maharashtra,Kharif,rainfed,low,bajra
51,28,25,28.74,51.91,7.13,508.14,Maharashtra,Kharif,rainfed,low,bajra
53,27,30,31.36,47.98,7.58,490.48,Maharashtra,Kharif,rainfed,low,bajra
56,28,34,30.08,53.0,6.97,448.6,Maharashtra,Kharif,rainfed,low,bajra
56,20,20,30.38,49.39,7.62,379.91,Maharashtra,Kharif,rainfed,low,bajra
56,22,22,30.3,56.58,6.41,491.43,Maharashtra,Kharif,rainfed,low,bajra
50,25,29,27.57,49.84,7.75,492.11,Maharashtra,Kharif,rainfed,low,bajra
50,23,22,28.86,54.15,7.18,423.57,Maharashtra,Kharif,rainfed,low,bajra
44,20,24,29.23,55.82,7.36,413.17,Maharashtra,Kharif,rainfed,low,bajra
50,25,26,32.11,47.48,7.73,453.52,Maharashtra,Kharif,rainfed,low,bajra
45,26,20,30.67,56.87,7.18,429.86,Maharashtra,Kharif,rainfed,low,bajra
46,24,20,27.21,55.09,6.67,412.3,Maharashtra,Kharif,rainfed,low,bajra
30,26,27,28.43,49.55,7.24,545.15,Maharashtra,Kharif,rainfed,low,bajra
64,28,21,27.14,53.37,6.77,456.53,Maharashtra,Kharif,rainfed,low,bajra
59,30,22,29.75,50.12,7.13,511.01,Maharashtra,Kharif,rainfed,low,bajra
52,23,28,28.44,52.29,7.53,536.14,Maharashtra,Kharif,rainfed,low,bajra
54,24,24,29.58,47.76,6.91,459.84,Maharashtra,Kharif,rainfed,low,bajra
47,31,23,27.39,56.07,6.35,562.02,Maharashtra,Kharif,rainfed,low,bajra
58,22,27,27.88,51.83,7.44,334.74,Maharashtra,Kharif,rainfed,low,bajra
47,20,20,29.88,54.75,8.07,470.15,Maharashtra,Kharif,rainfed,low,bajra
49,30,22,26.69,54.81,6.99,412.15,Maharashtra,Kharif,rainfed,low,bajra
44,22,21,33.63,51.91,7.47,408.46,Maharashtra,Kharif,rainfed,low,bajra
53,25,23,29.79,48.68,7.49,458.35,Maharashtra,Kharif,rainfed,low,bajra
44,24,30,30.32,51.82,6.82,433.39,Maharashtra,Kharif,rainfed,low,bajra
50,20,32,30.23,53.21,6.76,475.95,Maharashtra,Kharif,rainfed,low,bajra
48,29,26,29.61,53.58,7.56,489.05,Maharashtra,Kharif,rainfed,low,bajra
44,29,28,26.49,55.48,7.5,432.82,Maharashtra,Kharif,rainfed,low,bajra
42,28,27,27.33,52.61,6.6,553.3,Maharashtra,Kharif,rainfed,low,bajra
32,25,28,29.14,50.04,7.13,545.9,Maharashtra,Kharif,rainfed,low,bajra
44,27,29,29.95,48.12,6.92,554.38,Maharashtra,Kharif,rainfed,low,bajra
41,26,23,28.39,60.29,7.3,462.31,Maharashtra,Kharif,rainfed,low,bajra
53,24,23,28.21,51.96,7.64,487.05,Maharashtra,Kharif,rainfed,low,bajra
45,28,22,26.27,49.38,7.6,474.29,Maharashtra,Kharif,rainfed,low,bajra
53,26,28,31.17,48.67,6.89,456.41,Maharashtra,Kharif,rainfed,low,bajra
53,26,22,29.48,55.94,6.88,462.99,Maharashtra,Kharif,rainfed,low,bajra
52,28,27,30.26,44.72,7.81,383.57,Maharashtra,Kharif,rainfed,low,bajra
39,24,20,27.92,57.91,7.69,542.16,Maharashtra,Kharif,rainfed,low,bajra
46,25,26,28.27,50.37,7.45,443.0,Maharashtra,Kharif,rainfed,low,bajra
52,25,25,30.28,55.25,7.18,409.51,Maharashtra,Kharif,rainfed,low,bajra
62,27,24,28.76,51.46,7.04,553.58,Maharashtra,Kharif,rainfed,low,bajra
60,22,30,28.14,63.12,6.85,536.63,Maharashtra,Kharif,rainfed,low,bajra
49,27,23,30.95,46.89,7.38,469.7,Maharashtra,Kharif,rainfed,low,bajra
52,25,21,25.45,57.84,6.99,366.09,Maharashtra,Kharif,rainfed,low,bajra
51,30,30,30.0,64.07,7.15,539.05,Maharashtra,Kharif,rainfed,low,bajra
41,25,24,28.76,53.93,6.74,482.63,Maharashtra,Kharif,rainfed,low,bajra
42,27,24,27.33,50.17,7.29,448.98,Maharashtra,Kharif,rainfed,low,bajra
44,22,24,29.67,53.15,7.37,435.04,Maharashtra,Kharif,rainfed,low,bajra
49,34,28,33.06,34.51,6.37,150.91,Maharashtra,Summer,rainfed,low,bajra
45,21,21,31.64,37.24,7.35,146.23,Maharashtra,Summer,rainfed,low,bajra
32,23,29,32.03,42.93,8.17,151.88,Maharashtra,Summer,rainfed,low,bajra
54,27,24,34.14,38.06,7.1,183.64,Maharashtra,Summer,rainfed,low,bajra
60,26,19,33.75,32.45,6.91,151.9,Maharashtra,Summer,rainfed,low,bajra
47,28,24,31.66,46.87,6.93,97.93,Maharashtra,Summer,rainfed,low,bajra
60,24,28,33.78,37.36,6.72,123.12,Maharashtra,Summer,rainfed,low,bajra
42,23,26,34.42,43.7,8.12,161.33,Maharashtra,Summer,rainfed,low,bajra
68,21,23,33.56,35.28,6.8,176.4,Maharashtra,Summer,rainfed,low,bajra
